Label,Rosetta,Voids,Sheets,Filaments,Knots
Rosetta 0 data,0,0.35% ± 0.04%,31.91% ± 0.42%,62.65% ± 0.56%,5.08% ± 0.32%
Rosetta 1 data,1,0.33% ± 0.04%,31.91% ± 0.32%,63.00% ± 0.46%,4.75% ± 0.30%
Rosetta 2 data,2,0.30% ± 0.04%,32.62% ± 0.38%,63.48% ± 0.39%,3.60% ± 0.21%
Rosetta 3 data,3,0.33% ± 0.05%,34.23% ± 0.36%,61.06% ± 0.42%,4.37% ± 0.27%
Rosetta 4 data,4,0.33% ± 0.04%,32.42% ± 0.30%,61.56% ± 0.38%,5.69% ± 0.28%
Rosetta 5 data,5,0.34% ± 0.05%,32.16% ± 0.37%,62.57% ± 0.49%,4.94% ± 0.29%
Rosetta 6 data,6,0.31% ± 0.05%,34.40% ± 0.44%,61.06% ± 0.55%,4.22% ± 0.30%
Rosetta 7 data,7,0.36% ± 0.05%,33.76% ± 0.35%,62.09% ± 0.46%,3.80% ± 0.28%
Rosetta 8 data,8,0.27% ± 0.04%,34.30% ± 0.36%,61.73% ± 0.43%,3.69% ± 0.26%
Rosetta 9 data,9,0.28% ± 0.04%,32.71% ± 0.34%,62.38% ± 0.44%,4.63% ± 0.27%
Rosetta 10 data,10,0.30% ± 0.04%,33.89% ± 0.44%,62.00% ± 0.42%,3.81% ± 0.25%
Rosetta 11 data,11,0.36% ± 0.05%,33.43% ± 0.39%,61.96% ± 0.48%,4.25% ± 0.25%
Rosetta 12 data,12,0.33% ± 0.04%,33.58% ± 0.46%,62.84% ± 0.45%,3.25% ± 0.23%
Rosetta 13 data,13,0.34% ± 0.04%,32.49% ± 0.40%,62.34% ± 0.45%,4.83% ± 0.32%
Rosetta 14 data,14,0.28% ± 0.04%,33.75% ± 0.40%,61.59% ± 0.50%,4.38% ± 0.33%
Rosetta 15 data,15,0.32% ± 0.04%,34.76% ± 0.44%,60.15% ± 0.51%,4.77% ± 0.28%
Rosetta 16 data,16,0.30% ± 0.04%,32.70% ± 0.33%,62.27% ± 0.41%,4.73% ± 0.31%
Rosetta 17 data,17,0.34% ± 0.05%,33.44% ± 0.30%,61.17% ± 0.50%,5.04% ± 0.36%
Rosetta 18 data,18,0.35% ± 0.04%,32.87% ± 0.39%,63.24% ± 0.42%,3.54% ± 0.25%
Rosetta 19 data,19,0.26% ± 0.04%,34.05% ± 0.39%,61.61% ± 0.51%,4.09% ± 0.34%
,,,,,
,,,,,
Rosetta 0 rand,0,9.41% ± 0.30%,69.29% ± 0.50%,21.04% ± 0.34%,0.26% ± 0.04%
Rosetta 1 rand,1,9.35% ± 0.26%,69.19% ± 0.38%,21.21% ± 0.28%,0.25% ± 0.04%
Rosetta 2 rand,2,9.11% ± 0.30%,68.42% ± 0.44%,22.28% ± 0.29%,0.19% ± 0.04%
Rosetta 3 rand,3,6.45% ± 0.26%,71.88% ± 0.41%,21.45% ± 0.32%,0.22% ± 0.05%
Rosetta 4 rand,4,9.78% ± 0.27%,69.40% ± 0.47%,20.54% ± 0.35%,0.28% ± 0.05%
Rosetta 5 rand,5,8.03% ± 0.25%,71.36% ± 0.34%,20.36% ± 0.26%,0.26% ± 0.05%
Rosetta 6 rand,6,7.36% ± 0.38%,70.63% ± 0.57%,21.81% ± 0.40%,0.20% ± 0.04%
Rosetta 7 rand,7,6.98% ± 0.28%,70.88% ± 0.39%,21.94% ± 0.30%,0.20% ± 0.04%
Rosetta 8 rand,8,7.07% ± 0.29%,71.00% ± 0.41%,21.75% ± 0.32%,0.18% ± 0.04%
Rosetta 9 rand,9,8.41% ± 0.29%,70.46% ± 0.38%,20.88% ± 0.29%,0.26% ± 0.05%
Rosetta 10 rand,10,7.81% ± 0.30%,70.09% ± 0.42%,21.87% ± 0.30%,0.22% ± 0.04%
Rosetta 11 rand,11,6.96% ± 0.23%,71.62% ± 0.34%,21.21% ± 0.28%,0.21% ± 0.05%
Rosetta 12 rand,12,6.46% ± 0.27%,71.27% ± 0.46%,22.10% ± 0.36%,0.17% ± 0.04%
Rosetta 13 rand,13,7.84% ± 0.29%,71.41% ± 0.41%,20.46% ± 0.30%,0.30% ± 0.04%
Rosetta 14 rand,14,6.99% ± 0.28%,71.44% ± 0.41%,21.34% ± 0.29%,0.23% ± 0.04%
Rosetta 15 rand,15,7.12% ± 0.27%,71.65% ± 0.45%,20.99% ± 0.38%,0.24% ± 0.05%
Rosetta 16 rand,16,7.85% ± 0.26%,70.78% ± 0.37%,21.12% ± 0.31%,0.25% ± 0.04%
Rosetta 17 rand,17,7.95% ± 0.28%,71.24% ± 0.41%,20.55% ± 0.33%,0.26% ± 0.04%
Rosetta 18 rand,18,8.53% ± 0.30%,68.40% ± 0.47%,22.88% ± 0.34%,0.19% ± 0.04%
Rosetta 19 rand,19,7.32% ± 0.34%,70.86% ± 0.45%,21.62% ± 0.33%,0.20% ± 0.04%
